CharityID	RegistrationNumber	CategoryCode	IRSCode	EIN	Purpose	Name	InCareOF	Address1	Address2	City	State	Zip	Phone	PeriodBeginning	PeriodEnding	TotalRevenue	ProgramServiceExpense	ManagementExpense	FundRaisingExpense	TotalAssets
6	1008	161	501(c)(3)	936021898	To engage in research and education in the field of medical sciences and to render aid to deserving indigent persons requiring medical services.	Corvallis Clinic Foundation, The		444 NW Elks Drive		Corvallis	OR	97330	5417662167	01/01/2024	12/31/2024	125470.0000	77005.0000	10862.0000	3824.0000	1022204.0000
9	1011	602	501(c)(3)	936021910	For scientific, educational, charitable, and religious purposes, each for the public welfare.	Ralph and Adolph Jacobs Foundation	c/o Stuart Rosenfeld	1207 SW Sixth Avenue		Portland	OR	97204	5032926014	10/01/2024	09/30/2025	59434.0000	0.0000	0.0000	0.0000	283118.0000
10	1016	909	501(c)(0)	936067801	Del Norte Scholarship Foundation	Basil Ronjoin Educational Trust	Wendy R. Gerlach	3612 SW Dosch Ct.		Portland	OR	97221	5032976363	01/01/2025	12/31/2025	119367.0000	0.0000	0.0000	0.0000	956649.0000
14	1024	40	501(c)(3)	936021870	For benefit of religious, charity, science and education (primarily for educational scholarships).	Zehntbauer Foundation	c/o J. David Zehntbauer, Trustee	851 SW Sixth Avenue #1500		Portland	OR	972041357	5038904041	01/01/2024	12/31/2024	14487.0000	0.0000	0.0000	0.0000	256355.0000
16	1032	40	501(c)(3)	936024017	For charitable, educational or religious purposes within the State of Oregon.	Ochoco Charitable Fund		PO Box 2058		Prineville	OR	97754	5414476296	01/01/2025	12/31/2025	20334.0000	0.0000	0.0000	0.0000	359420.0000
17	1034	40	501(c)(3)	936023726	To make gifts & contributions of a charitable, educational, religious, scientific or literary nature.	Georgia-Pacific Foundation	Income Tax Department	133 Peachtree St, NE, 21st Flr.		Atlanta	GA	30303	4046525416	01/01/2024	12/31/2024	153695.0000	0.0000	0.0000	0.0000	25000.0000
22	1041	600	501(c)(3)	936023621	For charitable, scientific, literary, religious and/or educational purposes.	Holland Family Foundation, The		611 NE Bellevue Dr, Ste 323		Bend	OR	97701	5039702221	05/01/2024	04/30/2025	33579.0000	0.0000	0.0000	0.0000	52825.0000
23	1044	40	501(c)(3)	936025466	Income to be used in educating worthy young men & women of Lake County, Oregon in the schools, colleges & technical schools of Oregon.	Bernard Daly Educational Fund	c/o Jerry Evans	PO Box 328		Lakeview	OR	97630	5419475006	06/01/2024	05/31/2025	530496.0000	0.0000	0.0000	0.0000	5659506.0000
24	1045	602	501(c)(3)	936021894	For use in the promotion and furtherance of religion, charity, science or education in Lakeview, Oregon or its vicinity or in the vicinity of Redding, California, and for (1) Donations to municipal corporations (2) donations to exempt charitable corps. (3) Scholarships.	Collins McDonald Trust Fund	Tim Bishop	730 2nd Ave S Ste 1400		Minneapolis	MN	55402	5038265201	01/01/2024	12/31/2024	793824.0000	0.0000	0.0000	0.0000	15569239.0000
25	1046	602	501(c)(3)	936034207	To make gifts & contributions of a charitable, educational, religious, scientific, or literary nature.	Flowerree Foundation		PO Box 1010		Reno	NV	89504	5036592305	01/01/2024	12/31/2024	367899.0000	0.0000	0.0000	0.0000	4987761.0000
27	1049	602	501(c)(3)	936018523	For such public, charitable or educational purposes as will most effectively assist, encourage and promote the well being of mankind & primarily of the inhabitants of the city of Salem, Oregon.	Salem Foundation	Pioneer Trust Bank	PO Box 2305		Salem	OR	97308	5033633136	05/01/2024	04/30/2025	9539251.0000	10794673.0000	587322.0000	0.0000	37295060.0000
28	1051	40	501(c)(3)	936018713	Income used for the Chester M. Wilcox Memorial Scholarship at Oregon State University.	Chester M. Wilcox Memorial Fund	Pioneer Trust Bank	PO Box 2305		Salem	OR	97308	5034801897	01/01/2025	12/31/2025	48172.0000	0.0000	0.0000	0.0000	434430.0000
30	1055	602	501(c)(3)	936031284	To foster, develop, promote & encourage the health, education & general welfare of children & youth, principally in the City of Portland and its environs.	Portland Rotary Charitable Trust		PO Box 28106		Portland	OR	97228	5032281542	07/01/2024	06/30/2025	653357.0000	339042.0000	47392.0000	0.0000	5036449.0000
31	1061	40	501(c)(3)	510190941	To establish and allocate scholarships to deserving youth of Sherman County, Oregon.	Sherman County Scholarship Association, Incorporated	ATTN: Caitlin Blagg	PO Box 3		Moro	OR	97039	5419930199	01/01/2025	12/31/2025	41737.0000	0.0000	0.0000	0.0000	321808.0000
35	1067	40	501(c)(3)	936017158	Grants or scholarship loans.	Ben Selling Scholarship FDN 6329-328830	Wells Fargo Bank, N.A, Trust Tax Dept.	PO BOx 505  MAC H0006-092		Saint Louis	MO	63166	8887304933	10/01/2024	09/30/2025	23085.0000	0.0000	0.0000	0.0000	472399.0000
37	1070	602	501(c)(3)	936017116	Provide funds to support Oregon Health Science University	Zola P. White	Wells Fargo Bank, N.A., Trust Tax Dept.	PO Box 505 H0006-092		Saint Louis	MO	63166	8887304933	01/01/2025	12/31/2025	14653.0000	0.0000	0.0000	0.0000	278852.0000
41	1077	160	501(c)(3)	936032742	To provide recreation and rehabilitation facilities for blind persons and their friends.	Hull Foundation and Learning Center, Inc.		PO Box 157		Sandy	OR	97055	5036686195	01/01/2025	12/31/2025	375681.0000	360825.0000	111191.0000	1998.0000	2411151.0000
42	1078	602	501(c)(3)	930491360	For education, religion, relief from disease and suffering, erection and maintenance of public bldgs., Lessening burdens of govt. & contributions to other exempt organizations (primarily in Jackson County).	Carpenter Foundation, The		824 E Main St, #102		Medford	OR	97504	5417725851	07/01/2024	06/30/2025	1149641.0000	0.0000	0.0000	0.0000	18178791.0000
43	1080	399	501(c)(3)	930386905	To help fund programs that make the biggest impact on bettering the lives of women in the metropolitan area of Portland, Oregon.	Women's Foundation of Oregon	Libra Forde	221 NW Second Ave, Ste 302		Portland	OR	97209	9712301294	07/01/2024	06/30/2025	923656.0000	457652.0000	475731.0000	203573.0000	3559451.0000
44	1082	324	501(c)(3)	930386984	The YWCA of Greater Portland strives to eliminate racism and discrimination in all its forms and provides growth, education and leadership opportunities for women and families.	YWCA of Greater Portland	Margot Fisher	PO Box 4587		Portland	OR	972084587	5032947400	07/01/2024	06/30/2025	6073512.0000	5118363.0000	899894.0000	322444.0000	3872753.0000
45	1087	40	501(c)(3)	936017308	Scholarships to Gilliam County graduates who are also residents of Gilliam County.	Robert W. Cooke Educational Trust 333060		PO Box 505 MAC H0006-092		Saint Louis	MO	63166	8887304933	01/01/2025	12/31/2025	34169.0000	0.0000	0.0000	0.0000	321794.0000
47	1089	602	501(c)(3)	936021893	The Collins Foundation invests in Oregon nonprofit organizations, both rural and urban, that are dedicated to improving quality of life and well-being for the people in their communities.	Collins Foundation, The		1618 SW First Ave, Ste 505		Portland	OR	972015706	5032277171	01/01/2024	12/31/2024	24113404.0000	0.0000	0.0000	0.0000	234848745.0000
48	1090	602	501(c)(3)	936023941	To charitable, scientific, literary, religious and/or educational purposes.	Clemens Foundation, The		PO Box 24		Alsea	OR	97324	5414874100	01/01/2025	12/31/2025	1807144.0000	0.0000	0.0000	0.0000	21757504.0000
51	1094	40	501(c)(3)	936022991	To promote the doctrines of the 'Christian Church' by education of ministries of the Christian Church, support of Christian Church student organizations and WCTU Children's Farm Home.	Verne Catt-McDowell Corporation	c/o Albany First Christian Church	432 Ferry St SW		Albany	OR	97321	5412238155	01/01/2025	12/31/2025	17888.0000	0.0000	0.0000	0.0000	261131.0000
52	1095	29	501(c)(3)	930395591	for religious, missionary, educational and benevolent work for the benefit of the unfortunate, underprivileged and those in need.	Volunteers of America of Oregon, Inc.	Pamela Belli, CFO	3910 SE Stark St		Portland	OR	97214	5032358655	07/01/2024	06/30/2025	30179378.0000	24324963.0000	8833786.0000	981439.0000	20253771.0000
54	1097	349	501(c)(3)	936022916	For any civic, educational, charitable or religious purpose, and particularly to assist, encourage and promote the welfare and well being of the youth of Benton County, Oregon.	Benton Community Foundation		PO Box 911		Corvallis	OR	97339	5417531603	01/01/2024	12/31/2024	4458965.0000	1588986.0000	898409.0000	264610.0000	33383229.0000
56	1102	600	501(c)(3)	936025936	Encourage and promote the well-being of mankind and primarily the inhabitants of the city of Milton-Freewater, Oregon and its vicinity, regardless of race, color or creed.	Milton-Freewater Area Foundation	Baker Boyer Bank Trust Division	PO Box 1796		Walla Walla	WA	99362	5095252000	01/01/2025	12/31/2025	147904.0000	0.0000	0.0000	0.0000	2531563.0000
57	1103	602	501(c)(3)	936026156	For charitable, religious or educational purposes.	Ford Family Foundation, The		1600 NW Stewart Pkwy		Roseburg	OR	97470	5419572564	01/01/2024	12/31/2024	81181123.0000	0.0000	0.0000	0.0000	1127575014.0000
58	1105	913	501(c)(3)	930467412	Prevention of cruelty to animals.	Greenhill Humane Society and Society for the Prevention of Cruelty to Animals		88530 Greenhill Rd		Eugene	OR	97402	5416891503	07/01/2024	06/30/2025	4680647.0000	3415171.0000	345667.0000	346315.0000	10187608.0000
59	1107	349	501(c)(3)	936030780	To promote charitable and educational purposes within the State of Oregon.	Kiwanis Foundation of Klamath Falls, Inc.		PO Box 1507		Klamath Falls	OR	97601	5418848121	10/01/2024	09/30/2025	21020.0000	10500.0000	0.0000	0.0000	154014.0000
60	1111	297	501(c)(3)	936033838	To provide and maintain park facilities in the eastern portion of Washington County, Oregon.	Tualatin Hills Park Foundation		15707 SW Walker Rd		Beaverton	OR	97006	5236296300	07/01/2024	06/30/2025	640623.0000	95351.0000	112732.0000	0.0000	1216004.0000
61	1112	322	501(c)(3)	930711337	To aid and promote educational and charitable purposes, and in particular the support and furtherance of the educational, charitable or other lawful activities and purposes of Oregon State University.	Oregon 4-H Foundation	Patricia Nowak c/o OSU Foundation	4238 SW Research Way		Corvallis	OR	973331068	5414015306	07/01/2023	06/30/2024	2396655.0000	843897.0000	781176.0000	85305.0000	24763937.0000
62	1113	349	501(c)(3)	237029062	Youth and general community service.	Hermiston Kiwanis Foundation, The		PO Box 375		Hermiston	OR	97838	5415642200	10/01/2024	09/30/2025	71504.0000	63658.0000	0.0000	0.0000	54742.0000
64	1116	350	501(c)(3)	930202833	Dissemination of information and education of the public in the prevention & suppression of forest fires in the State of Oregon.	Keep Oregon Green Association		PO Box 12365		Salem	OR	97309	5039457498	07/01/2024	06/30/2025	1578266.0000	1206609.0000	42219.0000	0.0000	1629782.0000
66	1122	602	501(c)(3)	936030359	To promote charitable and educational purposes within the State of Oregon.	Table Rock Kiwanis Foundation Inc.		PO Box 3341		Central Point	OR	97502	5412610472	01/01/2024	12/31/2024	31125.0000	0.0000	0.0000	0.0000	451201.0000
67	1123	59	501(c)(3)	930386355	An organization of women committed to promoting volunteerism, developing the potential of women and improving communities through the effective action and leadership of trained volunteers.	Junior League of Portland, Oregon		1201 SW 12TH AVE 308		PORTLAND	OR	97205	5038774557	06/01/2024	05/31/2025	131385.0000	98240.0000	74732.0000	2539.0000	1352618.0000
