DATE CHECKED,ORG NAME,EIN,STATUS,EXPIRATION DATE,SOURCE,NOTES
7/17/2026,Northside Hospital Inc,581954432,Closed,2/17/1998,Georgia SOS Charity Search,exact normalized name match
7/17/2026,Emory University,580566256,Exempt,,Georgia SOS Charity Search,exact normalized name match
7/17/2026,Emory — Group Return,900790361,Not Registered,,Georgia SOS Charity Search,No safe Georgia match
7/17/2026,National Christian Charitable Foundation,581493949,Not Registered,,Georgia SOS Charity Search,No safe Georgia match
7/17/2026,Childrens Healthcare Of Atlanta Inc,900779996,Not Registered,,Georgia SOS Charity Search,No safe Georgia match
7/24/2026,Piedmont Healthcare Inc,580566213,Current,4/20/2028,Georgia SOS Charity Search,exact normalized name match
7/17/2026,Map International,362586390,Current,6/30/2027,Georgia SOS Charity Search,exact normalized name match
7/17/2026,Cobb Hospital,580968382,Not Registered,,Georgia SOS Charity Search,No safe Georgia match
7/17/2026,Delta Account Based Medical Tr,753261600,Not Registered,,Georgia SOS Charity Search,No safe Georgia match
7/17/2026,United Parcel Service Veba Ups Health And Welfare Plan,222899653,Not Registered,,Georgia SOS Charity Search,No safe Georgia match
7/17/2026,The Medical Center Inc,581685139,Current,6/11/2027,Georgia SOS Charity Search,name containment 2/2
7/17/2026,Jackson Electric Membership Corp,580301471,Not Registered,,Georgia SOS Charity Search,No safe Georgia match
7/17/2026,The Ma Ran Foundation — Rollins R Randall Etal Ttee,586263945,Not Registered,,Georgia SOS Charity Search,No safe Georgia match
7/17/2026,Robert W Woodruff Foundation Inc — Erik S Johnson Mbr,581695425,Not Registered,,Georgia SOS Charity Search,No safe Georgia match
7/17/2026,Tanner Medical Center Inc,581790149,Not Registered,,Georgia SOS Charity Search,No safe Georgia match
7/17/2026,Marcus Foundation Inc,581815651,Not Registered,,Georgia SOS Charity Search,No safe Georgia match
7/17/2026,Tanner Medical Center — Group Return,800785570,Not Registered,,Georgia SOS Charity Search,No safe Georgia match
