DATE CHECKED,ORG NAME,EIN,STATUS,EXPIRATION DATE,SOURCE,NOTES
7/20/2026,1 40 Th Cav Veteran Association,39-3829014,Current,7/31/2027,,
7/20/2026,1 800 Contacts Gives Back,85-1059470,Not Registered,,,
7/20/2026,1 Utah Project,85-4400294,Closed,12/31/2025,,
7/20/2026,2 Beta Inc,85-0557358,Closed,5/31/2025,,
7/20/2026,2 Ft Prosthetics,27-2391517,Current,5/31/2027,,
7/20/2026,3 D Foundation Non Profit Corporation,83-1245195,Delinquent,6/30/2026,,
7/20/2026,3 Great Rights Foundation,82-3039782,Closed,10/31/2022,,
7/20/2026,3 Squares Inc,45-5225626,Closed,5/31/2019,,
7/20/2026,4 A Better Tomorrow,93-2408436,Delinquent,7/31/2025,,
7/20/2026,4 Gold Service And Rescue,84-2246695,Current,6/30/2027,,
7/20/2026,4 Gone Still Strong,33-2026613,Upcoming Filing,11/30/2026,,
7/20/2026,4 Helping Hearts Inc,85-2920613,Closed,9/30/2025,,
7/20/2026,4 Paws 4 Patriots Utah,83-2651623,Upcoming Filing,11/30/2026,,
7/20/2026,4 Th Wall Players Foundation,47-2330616,Closed,10/31/2019,,
7/20/2026,4 The Solution,26-4460341,Current,3/31/2027,,
7/20/2026,4 Tk Foundation Inc,46-2240302,Closed,3/31/2025,,
7/20/2026,5 Ranges Phoenix Stables,39-3341553,Current,7/31/2027,,
7/20/2026,5 Rhythms Reach Out Inc,20-8755227,Not Registered,,,
7/20/2026,5 Star Legacy Foundation,26-3564428,Closed,10/31/2025,,
7/20/2026,7 Figure Foundation,87-1378032,Upcoming Filing,8/31/2026,,
7/20/2026,7 Sacred Spaces Non Profit Corporation,85-0739477,Not Registered,,,
7/20/2026,10 07 Charitable Fund,47-2053963,Upcoming Filing,10/31/2026,,
7/20/2026,10 78 Utah Foundation,46-5345026,Closed,12/31/2017,,
7/20/2026,10 Ninety Foundation,33-3636273,Current,1/31/2027,,
7/20/2026,19 Quilts For Natalie,81-1906164,Current,3/31/2027,,
7/20/2026,43 Institute,92-1660633,Current,1/31/2027,,
7/20/2026,47 G Uammi Institute,85-2096982,Current,7/31/2027,,
7/20/2026,47 G Utah Aerospace & Defense,88-3427002,Current,7/31/2027,,
7/20/2026,70 X7,33-4631027,Current,4/30/2027,,
7/20/2026,75 Th Defenders Association,26-3384052,Not Registered,,,
7/20/2026,80 20 Corporation — 80 20 Endurance Foundation,87-2309138,Not Registered,,,
7/20/2026,90&9 — 90 And 9 Events,82-3336186,Not Registered,,,
7/20/2026,99 Foundation Inc,85-1404512,Closed,6/30/2021,,
7/20/2026,100 For Kids Utah Credit Union Education Foundation,42-1562278,Closed,11/30/2024,,
7/20/2026,100 Humanitarians International,82-1048388,Current,5/31/2027,,
7/20/2026,300 Th Mib Association,92-2811147,Current,3/31/2027,,
7/20/2026,309 Uac,93-4216400,Not Registered,,,
7/20/2026,325 Kamra Inc,47-5346820,Not Registered,,,
7/20/2026,337 Project,26-1771606,Closed,9/19/2010,,
7/20/2026,337 Project,26-1771606,Closed,1/31/2016,,
7/20/2026,367 Th Trss Booster Club,47-1101334,Not Registered,,,
7/20/2026,388 Th Ammo Association,82-0680536,Not Registered,,,
7/20/2026,419 Th Diamondback Association,88-3069005,Not Registered,,,
7/20/2026,421 Fighter Generation Squadron Booster Club,87-3437066,Not Registered,,,
